area,depth
67232,1.2852697182097472e-06
71944,1.1533019232956576e-06
73884,1.162342528004956e-06
75254,1.1575181133594015e-06
75240,1.1429997357481625e-06
75456,1.095220909519412e-06
81972,1.0495530204934767e-06
73630,1.0220653621217934e-06
72072,1.0541050414758502e-06
74260,1.1079256410084781e-06
81952,9.747540161697543e-07
83888,9.27177325138473e-07
88650,9.389682418259326e-07
89044,9.468778330301575e-07
86764,1.0165351795876632e-06
91408,1.0293100558556034e-06
92035,9.69218945101602e-07
89892,9.877513775791158e-07
87074,1.0352928256907035e-06
88308,1.0912850711974897e-06
92898,1.0859220083148102e-06
92104,1.082439439414884e-06
92568,1.0786783377625397e-06
92169,1.0804715202539228e-06
99935,1.3513138128473656e-06
98560,1.3767636346528889e-06
94122,1.1600729976635193e-06
93240,1.4391323475138051e-06
92130,1.460913836126565e-06
91383,1.4062107993595419e-06
49132,5.37763980901218e-07
38868,6.984430456213886e-07
34656,8.135396001307527e-07
34048,8.771039006205683e-07
31392,7.894864211266395e-07
31390,8.433618177150493e-07
28980,6.329457278297923e-07
28912,7.115254447853658e-07
25344,5.625062726721808e-07
23436,5.104924980514625e-07
23500,5.389157422541757e-07
21840,4.895395591120177e-07
22022,5.34074274582963e-07
20768,5.864545187250769e-07
20416,5.844941597388242e-07
18648,4.1921165916392056e-07
17548,4.292097912639292e-07
17441,4.5385971247924317e-07
16960,4.3643478875310393e-07
16695,4.618114530785533e-07
15810,4.087483773673739e-07
15554,4.3139343119946716e-07
13870,3.743604963801772e-07
13113,3.700075694723637e-07
13113,3.8337836372193124e-07
12558,3.7358688587119104e-07
12420,3.7665481045223714e-07
12104,3.6504852118923736e-07
12240,3.5552878330236126e-07
11438,3.7071248470965656e-07
11050,3.4904920198641776e-07
11180,3.457372201864928e-07
10880,3.3341399330311106e-07
10880,3.3162797308250447e-07
10044,3.1544038847641787e-07
10086,3.0525887950716424e-07
9801,3.033281927855569e-07
9282,2.991039309563348e-07
9086,2.927345690295624e-07
9009,2.9668640877389407e-07
8249,2.8844164035035647e-07
8288,2.9188433359195187e-07
7560,2.6800469754562073e-07
7597,2.748861334112007e-07
7597,2.706303234845109e-07
7597,2.70911641564453e-07
6901,2.652840009886859e-07
6370,2.613188598843408e-07
6370,2.492175781299011e-07
6370,2.4333155579370214e-07
6144,2.477747500506666e-07
6080,2.38629922932887e-07
5828,2.4396564413109445e-07
5766,2.3420172112764703e-07
5766,2.2840428925974265e-07
5673,2.478155636254087e-07
5766,2.336915798650807e-07
5704,2.0570035985656432e-07
5796,2.1850621578778373e-07
5796,2.2415788691887428e-07
5796,2.2356282158852991e-07
5518,1.6921033818562137e-07
5394,1.4455922325851134e-07
5220,1.8295853010386054e-07
5307,1.849253266072992e-07
4760,1.8435568449604034e-07
4675,1.8759209297058987e-07
4374,1.8791138245433103e-07
4320,1.912091533995408e-07
4266,1.9999212952370726e-07
3900,1.706640802012771e-07
3927,1.779201994622781e-07
3750,1.6346449172033317e-07
3750,1.7323115741874062e-07
3750,1.7906191374095215e-07
3750,1.7975294497318828e-07
3384,1.6053427032147738e-07
3290,1.5458458335615433e-07
3174,1.613549471812803e-07
