area,depth
39402,-1.1127222023787908e-06
37587,-5.956176778454392e-07
35868,-6.59460852148186e-07
36200,-5.989508622405992e-07
37788,-6.464053967647487e-07
37412,-6.471713618338981e-07
36660,-6.123639764155087e-07
37600,-6.230829399100912e-07
37240,-5.662261628458509e-07
37600,-6.855514129711082e-07
37800,-6.370291885104962e-07
37800,-6.650001864727528e-07
37611,-6.516905841635889e-07
37611,-6.450242722166877e-07
37611,-6.292259513429599e-07
37800,-6.267212029342772e-07
37422,-5.834911576130253e-07
37600,-6.326952757262916e-07
35640,-6.518964141832839e-07
36234,-6.380431045727164e-07
35084,-6.362733984133229e-07
34740,-6.078712999624258e-07
34571,-6.192929049575469e-07
31494,-6.371616336764419e-07
30420,-5.616642511085956e-07
30251,-5.526581503545458e-07
29904,-5.620910883408214e-07
26228,-5.414362362898828e-07
22922,-5.454724032460945e-07
22165,-4.955604140377545e-07
21726,-5.075202125226497e-07
19591,-4.799696853297064e-07
19176,-4.665864992148272e-07
17280,-5.141805559105705e-07
16891,-4.6374307771657186e-07
16896,-4.3547186123760184e-07
16758,-4.491387812777248e-07
15120,-3.458287380908587e-07
13570,-3.3129919074781355e-07
13104,-3.5357643923816795e-07
13104,-3.3764638374123024e-07
13104,-3.346180506014207e-07
12296,-3.877476899560861e-07
11227,-3.67911837884094e-07
11009,-3.3050505976461864e-07
11118,-2.946754875665647e-07
9996,-3.0377930215763627e-07
9894,-2.8157739961898187e-07
8640,-2.826438390002295e-07
8455,-2.975461654841638e-07
8277,-2.6184511625615414e-07
8184,-2.834668464402057e-07
7462,-3.2745930411692825e-07
6536,-2.990775840316928e-07
6545,-2.621729890961433e-07
6630,-2.6000356001532055e-07
6545,-2.7444110628493945e-07
5226,-3.0321598387672566e-07
4736,-2.5385256208210194e-07
4672,-2.3209177868466213e-07
4536,-2.4408456056335126e-07
4200,-2.2170995350734302e-07
4080,-2.1353638146592857e-07
3705,-1.976920032120688e-07
3648,-2.0813880041714583e-07
3648,-2.025826830731603e-07
3528,-2.167234356420522e-07
3348,-1.9057766564856138e-07
3000,-2.023274845441847e-07
1147,-1.575678965082261e-07
1050,-1.1329500892998112e-07
1116,-1.029478582381671e-07
1088,-6.124065521362354e-08
1088,-8.799435846640336e-08
957,-9.815983759153823e-08
957,-8.858760480734418e-08
957,-8.870012635497915e-08
928,-8.682097529799648e-08
928,-9.089139041407179e-08
754,-7.896284159869538e-08
700,-3.322242392300723e-08
700,-4.0924284405718936e-08
700,-3.573919826749261e-08
702,-4.584349611036487e-08
702,-7.632743148633381e-08
783,-7.95265435726833e-08
783,-8.829179165559253e-08
702,-7.714619698617753e-08
728,-5.631092392377468e-08
702,-4.1354670798909865e-08
729,-5.1639453602092544e-08
702,-5.104819678081185e-08
702,-6.123053708506632e-08
728,-7.268062773846395e-08
600,-6.954851272666929e-08
552,-5.58942545580976e-08
552,-4.085673310783022e-08
529,-3.744865395560737e-08
529,-4.650264173733376e-08
529,-4.0340808027394814e-08
460,-4.336929393389255e-08
460,-2.738132920399039e-08
440,-2.7115959255752387e-08
529,4.803821340715331e-08
576,8.031380360762341e-08
1344,4.2510286846209056e-08
1080,8.853053401480793e-08
1188,1.1024139467963323e-07
1260,1.2945250205120828e-07
1350,1.4423291361254087e-07
1204,1.288864126536282e-07
1222,9.319612104263797e-08
