area,depth
95632,6.202850499903434e-07
97075,8.772448154559243e-07
96673,9.127462590186042e-07
97227,9.252077575183648e-07
97300,9.190835612571391e-07
97022,9.209772997564869e-07
97504,9.317211606685305e-07
97227,9.403810281582992e-07
97075,9.412657391294488e-07
96876,9.367854545416776e-07
97152,9.363720891997218e-07
97152,9.388662078890775e-07
96174,9.474672992837441e-07
95975,9.189518550556386e-07
97152,9.148419621851644e-07
96600,9.142555086327775e-07
95004,9.084169505513273e-07
94384,9.125201358983759e-07
91314,9.091159540730587e-07
90365,9.256254998035729e-07
90513,9.322416758550389e-07
83712,8.787030196799606e-07
81664,9.244181455869693e-07
71876,8.017862000997411e-07
69384,8.35331093185232e-07
68440,8.860213256411953e-07
68150,8.708801715329173e-07
58788,7.450180419255048e-07
48250,6.596864636776445e-07
46116,6.607302793781855e-07
45790,7.011289540059806e-07
45790,7.05217530594382e-07
39098,5.922362333876663e-07
34080,4.968130724591902e-07
32864,5.350005949367187e-07
32864,5.516170631381101e-07
32864,5.529541908799729e-07
28608,4.0420380287287117e-07
24112,4.0750131802269607e-07
23664,4.901082775177201e-07
23490,4.995448534828029e-07
23490,4.910491497867042e-07
21120,4.4019924416716094e-07
19311,3.733611606548948e-07
18910,4.4029161472280975e-07
19032,4.3548411099436635e-07
17168,3.5916073670705373e-07
17052,4.15505212458811e-07
15904,3.285557852450438e-07
15651,3.735985387720575e-07
15651,3.7031048805147293e-07
14552,3.238706369756983e-07
14310,3.2702143926144345e-07
13596,3.049952113087784e-07
13596,3.155391539166885e-07
13362,3.17587193876534e-07
13493,3.168956368426734e-07
12573,2.756244441570743e-07
11468,2.5616049015297904e-07
11280,2.7792222567768476e-07
11400,2.779853787160391e-07
10350,2.5661171321189613e-07
10057,2.5783202772799996e-07
9265,2.6035064593088464e-07
9072,2.6816542231244966e-07
9072,2.757100503458787e-07
8424,2.354349817323964e-07
8343,2.481096430528851e-07
7821,2.232926448186845e-07
4180,6.166057175960304e-08
3960,1.02748046515444e-07
3795,1.315000019985746e-07
3795,1.4162547756768618e-07
3795,1.4573420514807367e-07
3726,1.4832319550350803e-07
3618,1.477524591564361e-07
3551,1.4665410219549813e-07
3484,1.493667696195189e-07
3432,1.3700967826935084e-07
3432,1.4023379435457173e-07
3366,1.3562490153162798e-07
3366,1.367113497963146e-07
3315,1.3647543539718754e-07
3315,1.3660725528552575e-07
3200,1.367912574323782e-07
3200,1.311955486471561e-07
3200,1.3112084218391828e-07
3200,1.3190062020385085e-07
3136,1.324664111734819e-07
3087,1.3228265061115962e-07
2961,1.281466097680095e-07
2961,1.2688360584434122e-07
2867,1.284398507550577e-07
2976,1.2579018004998943e-07
2928,1.2207782162931835e-07
2867,1.2147283712238277e-07
2820,1.231894373177056e-07
2820,1.2478349731281924e-07
2714,1.2155290107784822e-07
2714,1.2692503048583603e-07
2655,1.2342306376922352e-07
2655,1.2910759039641562e-07
2655,1.30070702653029e-07
2655,1.3000870069390658e-07
2714,1.2674910010446183e-07
2668,1.1770065810878805e-07
2610,1.20282109605796e-07
2610,1.2282058037271781e-07
2610,1.1768073449047733e-07
2610,1.1779897590713517e-07
2552,1.2847158359363675e-07
2552,1.1744046446438006e-07
2552,1.1806458388718966e-07
2565,1.1748695527558084e-07
2565,1.1048410897274152e-07
2565,1.1827277290876737e-07
2565,1.1265655786019124e-07
2565,1.1345915851279642e-07
2565,1.1384969411665224e-07
2464,1.0902929403755479e-07
2352,1.1149521128572815e-07
2408,1.1291219692566301e-07
2408,1.1309241187973385e-07
2365,1.0915733383853876e-07
2365,1.1289908030676088e-07
2365,1.0618302326292905e-07
2365,1.0660184557309549e-07
2365,1.0626090585219572e-07
2268,1.024912563707403e-07
2268,1.0660976812459921e-07
2214,1.0531193339602396e-07
2268,1.0207865130951177e-07
2268,1.0149763340905338e-07
2268,1.014442716495978e-07
2279,1.026679257165597e-07
2376,1.0979576359204657e-07
2430,1.0755976376231047e-07
2430,1.0677456430130405e-07
2226,1.048040942919215e-07
2226,1.0555741170037436e-07
2226,9.56883710045986e-08
2236,1.0180453813291024e-07
2236,1.018814828057657e-07
2173,9.901267361556165e-08
2173,9.928606203857271e-08
2132,9.006846113379652e-08
2184,9.820620050504658e-08
2184,9.841260606435753e-08
2184,9.877932427571068e-08
2236,9.599769157375704e-08
2080,8.919414540287107e-08
2080,9.349130181135479e-08
2080,9.301714243292736e-08
2080,9.290867808431358e-08
2184,9.300845960069637e-08
2184,1.0064680822097216e-07
2236,9.974603898399437e-08
2184,1.0083145696171414e-07
2184,9.536565670487107e-08
2184,9.679497026127137e-08
2226,9.889853203048915e-08
2184,1.0111389769917878e-07
2226,9.889267005291913e-08
2226,9.914801069044188e-08
2080,9.603569139926549e-08
2173,9.421971469691925e-08
2173,9.509958687203834e-08
2173,9.44453759643693e-08
2080,8.964723008375586e-08
2173,9.633320985358296e-08
2184,9.806814915691575e-08
2226,9.706776893381175e-08
2268,9.636679720870234e-08
2226,8.896540748537518e-08
2226,8.978205556786634e-08
2184,1.0012716700202873e-07
2184,9.811324730435445e-08
2184,9.758507246715453e-08
2120,9.32594801383857e-08
2173,8.741442769633068e-08
2080,1.017996353880335e-07
2080,9.675289192045966e-08
2080,9.683149215788944e-08
2028,1.0182945686665335e-07
2080,9.319111882177822e-08
2184,9.204735107459783e-08
2184,8.989608346610112e-08
2184,9.089110619697749e-08
2120,8.310698262903315e-08
2120,8.593231370923604e-08
2091,6.060762558490751e-08
2000,8.086332314860556e-08
2000,7.93830068346324e-08
2000,7.941812896206102e-08
